stationID,name,address,latitude,longitude,bonus,status,contract_name,bike_stands,available_bike_stands,available_bikes,last_update
86,MAISON COMMUNALE DE JETTE GEMEENTEHUIS,MAISON COMMUNALE DE JETTE / JETTE GEMEENTEHUIS - CHAUSSEE DE WEMMEL/WEMMELSESTEENWEG 102,50.876195,4.324477,FALSE,OPEN,Bruxelles-Capitale,25,22,3,2018-03-03T17:37:07+00:00
279,HOUBA BRUGMANN,HOUBA BRUGMANN - AVENUE HOUBA DE STROOPER / HOUBA DE STROOPERLAAN,50.890181,4.336962,FALSE,OPEN,Bruxelles-Capitale,25,14,11,2018-03-03T17:36:41+00:00
335,THIRY,THIRY - BD DE LA WOLUWE DVT 100,50.854231,4.444034,FALSE,OPEN,Bruxelles-Capitale,20,6,14,2018-03-03T17:37:12+00:00
317,GEYSKENS,GEYSKENS - AVENUE ISIDORE GEYSKENSLAAN FACE/TEGENOVER 108,50.819546,4.421198,FALSE,OPEN,Bruxelles-Capitale,20,6,14,2018-03-03T17:37:09+00:00
78,DUC PETIAUX,DUC PETIAUX - CHAUSSEE DE WATERLOO/ WATERLOOSESTEENWEG 376 - 370,50.823699,4.351623,FALSE,OPEN,Bruxelles-Capitale,25,22,3,2018-03-03T17:37:35+00:00
269,CICERON,CICERON - CHAUSSE DE LOUVAIN / LEUVENSESTEENWEG1166,50.860859,4.421375,FALSE,OPEN,Bruxelles-Capitale,25,11,13,2018-03-03T17:36:45+00:00
236,AISON COMMUNALE DE FOREST/VORST GEMEENTEHUIS,MAISON COMMUNALE DE FOREST / VORST GEMEENTEHUIS - RUE SAINT DENIS 4 / SINT DENIJSSTRAAT 4,50.812328,4.318885,FALSE,OPEN,Bruxelles-Capitale,25,3,22,2018-03-03T17:36:24+00:00
200,VETERANS COLONIAUX / KOLONIALE VETERANEN,VETERANS COLONIAUX / KOLONIALE VETERANEN - BD JULES GRAINDOR / JULES GRAINDORLAAN,50.843967,4.313537,TRUE,OPEN,Bruxelles-Capitale,25,15,10,2018-03-03T17:36:24+00:00
260,TRITON,TRITON - AVENUE DES ANCIENS COMBATTANTS - PISCINE / OUD-STRIJDERSLAAN - ZWEMBAD,50.86702,4.406995,FALSE,OPEN,Bruxelles-Capitale,25,9,16,2018-03-03T17:36:21+00:00
148,GARE MEISER/MEISER STATION,GARE MEISER / MEISER STATION - AVENUE ROGIER/ ROGIERLAAN 377 - 379,50.855629,4.394807,FALSE,OPEN,Bruxelles-Capitale,22,16,6,2018-03-03T17:35:43+00:00
